Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
1309 N Leavitt St,,Sold,Multi Family,630000,11/14/18,3,3,1300,Y,N/A,1887
1750 W Division St APT 201,,Sold,Condo,485000,07/07/20,2,2,No Data,Y,293,2007
1410 N Hoyne Ave #3A,,Sold,Condo,430000,02/14/19,,--,,N,220,1994
1339 N Wicker Park Ave APT 4,,Sold,Condo,407500,12/05/19,2,2,1400,Y,233,1885
1313 N Oakley Blvd #1,,Sold,Condo,442000,08/19/19,2,2,No Data,N,246,Data
2136 W Evergreen Ave #3B,,Sold,Condo,332500,09/09/18,2,2,,Y,256,1994
1849 W North Ave UNIT 2,,Sold,Single Family,415000,03/19/19,,--,,N,253,1997
1641 W North Ave APT 3E,,Sold,Condo,425000,05/02/20,2,2,1400,Y,183,1997
1634 W Beach Ave #2,,Sold,Condo,660000,09/10/18,3,3,No Data,Y,150,2008
2136 W Crystal St APT 1,,Sold,Condo,473200,09/20/18,3,3,2400,Y,223,1998
2144 W Schiller St UNIT D,,Sold,Condo,420000,07/11/19,2,2,1300,Y,215,2006
1620 W Pierce Ave,,Sold,Single Family,1750000,12/25/19,6,7,4500,Y,N/A,2018
1261 N Wolcott Ave,,Sold,Single Family,680000,04/30/20,5,4,5209,Y,N/A,1895
1243 N Wolcott Ave APT 3,,Sold,Condo,675000,08/21/20,3,3,,N,266,1997
1725 W North Ave STE 209,,Sold,Condo,439000,02/19/20,2,2,1800,Y,545,1939
1393 N Milwaukee Ave,,Sold,Condo,465000,03/08/20,3,2,1500,Y,300,2005
1645 W North Ave APT 2,,Sold,Condo,360000,07/22/20,2,2,1400,Y,150,2001
1550 N Oakley Blvd #2R-3R,,Sold,Apartment,690000,04/27/20,1,1,,Y,379,1876
1644 W Blackhawk St APT 2E,,Sold,Condo,555000,06/03/19,3,2,1600,Y,150,2007
2126 W Schiller St APT 1,,Sold,Condo,550500,11/28/19,3,3,2250,Y,192,1996
1625 W North Ave APT 301,,Sold,Condo,600000,04/17/19,3,2,1750,Y,318,Data
1373 N Milwaukee Ave APT 3,,Sold,Condo,630000,03/26/19,,--,,N,N/A,Data
1217 N Paulina St #2,,Sold,Condo,699000,02/18/20,3,2,No Data,Y,200,2019
1400 N Milwaukee Ave APT 404,,Sold,Condo,350000,04/10/19,2,1,1125,Y,404,1886
1349 N Leavitt St APT 3,,Sold,Condo,935000,11/18/19,,--,,N,N/A,Data
1349 N Leavitt St,,Sold,Condo,935000,10/25/19,3,3,2500,Y,250,2016
2154 W Division St APT 401,,Sold,Condo,805000,07/10/19,,--,,N,448,2005
1502 N Wood St #1,,Sold,Condo,655000,08/06/18,4,3,2600,Y,195,2002
1259 N Wood St APT 206,,Sold,Condo,425000,05/23/19,2,2,No Data,Y,310,1909
1400 N Milwaukee Ave APT 201,,Sold,Condo,277000,08/24/20,1,1,750,Y,264,1886
1734 W Le Moyne St #1,,Sold,Condo,575000,10/10/18,3,2.,,Y,150,1896
1534 N Honore St #2,,Sold,Condo,565000,04/15/20,2,2,No Data,Y,200,2020
